"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Apr to Jun 2020,Avanti West Coast,"113,326",69.7,86.2,98.0,"632,135",43.6,63.8,92.6
Jul to Sep 2020,Avanti West Coast,"158,692",60.9,80.2,96.4,"614,056",49.5,69.1,94.0
Oct to Dec 2020,Avanti West Coast,"154,869",57.8,78.1,96.0,"593,452",56.0,75.5,95.5
Jan to Mar 2021,Avanti West Coast,"122,788",60.7,77.9,95.3,"549,675",61.8,80.4,96.4
Apr to Jun 2021,Avanti West Coast,"134,163",60.1,78.2,95.1,"570,512",59.8,78.7,95.8
Jul to Sep 2021,Avanti West Coast,"144,347",55.8,75.6,95.6,"556,167",58.5,77.4,95.5
Oct to Dec 2021,Avanti West Coast,"143,153",45.3,66.0,92.4,"544,452",55.2,74.3,94.6
Jan to Mar 2022,Avanti West Coast,"134,202",51.0,72.3,95.0,"555,865",53.0,73.0,94.5
Apr to Jun 2022,Avanti West Coast,"133,052",46.5,67.1,92.0,"554,754",49.7,70.3,93.7
Jul to Sep 2022,Avanti West Coast,"122,431",38.8,57.8,87.7,"532,838",45.5,66.0,91.9
Oct to Dec 2022,Avanti West Coast,"110,353",34.0,52.8,85.9,"500,038",43.1,63.1,90.4
Jan to Mar 2023,Avanti West Coast,"144,207",42.4,61.1,87.6,"510,043",40.8,60.1,88.4
Apr to Jun 2023,Avanti West Coast,"148,137",46.1,65.3,89.8,"525,128",40.8,59.7,87.9
Jul to Sep 2023,Avanti West Coast,"150,870",46.3,65.3,90.4,"553,568",42.8,61.7,88.6
Oct to Dec 2023,Avanti West Coast,"149,028",37.2,55.8,85.1,"592,242",43.0,61.9,88.2
Jan to Mar 2024,Avanti West Coast,"154,823",44.5,64.3,90.3,"602,858",43.5,62.7,88.9
Apr to Jun 2024,Avanti West Coast,"152,925",41.2,60.2,87.9,"607,646",42.3,61.4,88.5
Jul to Sep 2024,Avanti West Coast,"167,510",41.1,60.3,87.9,"624,286",41.0,60.2,87.8
Oct to Dec 2024,Avanti West Coast,"158,231",35.6,54.6,85.4,"633,490",40.6,59.8,87.9
Jan to Mar 2025,Avanti West Coast,"165,417",41.6,62.0,89.3,"644,084",39.9,59.3,87.7
Apr to Jun 2025 [p],Avanti West Coast,"167,584",39.0,58.5,87.3,"658,743",39.4,58.9,87.5
Jul to Sep 2025 [p],Avanti West Coast,"178,856",37.6,57.0,87.2,"670,089",38.4,58.0,87.3
Apr to Jun 2014,c2c,"363,904",86.7,96.7,99.6,"1,462,965",84.7,96.3,99.7
Jul to Sep 2014,c2c,"379,142",86.4,96.7,99.6,"1,461,963",84.8,96.2,99.6
Oct to Dec 2014,c2c,"370,000",84.9,96.6,99.8,"1,473,767",85.7,96.5,99.6
Jan to Mar 2015,c2c,"369,907",87.6,97.2,99.8,"1,482,953",86.4,96.8,99.7
Apr to Jun 2015,c2c,"366,991",88.1,97.4,99.8,"1,486,040",86.7,97.0,99.7
