"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Apr to Jun 2024,Hull Trains,"10,042",56.3,76.5,94.8,"39,353",51.1,72.4,94.0
Jul to Sep 2024,Hull Trains,"10,088",52.7,72.9,92.7,"39,248",50.2,71.5,93.5
Oct to Dec 2024,Hull Trains,"9,318",44.1,65.5,92.3,"38,808",50.6,71.7,93.5
Jan to Mar 2025,Hull Trains,"9,452",50.8,70.9,92.3,"38,900",51.1,71.6,93.1
Apr to Jun 2025 [p],Hull Trains,"8,597",51.8,72.6,92.6,"37,455",49.9,70.5,92.5
Jul to Sep 2025 [p],Hull Trains,"8,996",48.6,71.5,92.7,"36,364",48.8,70.1,92.5
Apr to Jun 2014,London North Eastern Railway,"97,800",56.4,76.5,97.0,"384,429",50.0,69.7,94.6
Jul to Sep 2014,London North Eastern Railway,"99,017",52.2,72.6,96.0,"385,206",50.1,70.2,95.0
Oct to Dec 2014,London North Eastern Railway,"95,279",45.2,65.2,93.3,"387,388",50.4,70.6,95.1
Jan to Mar 2015,London North Eastern Railway,"96,628",58.7,77.3,96.8,"388,725",53.2,72.9,95.8
Apr to Jun 2015,London North Eastern Railway,"98,133",57.1,76.1,96.1,"389,058",53.4,72.8,95.6
Jul to Sep 2015,London North Eastern Railway,"98,850",55.1,73.9,94.9,"388,891",54.1,73.1,95.3
Oct to Dec 2015,London North Eastern Railway,"96,529",43.2,62.2,92.0,"390,141",53.5,72.4,95.0
Jan to Mar 2016,London North Eastern Railway,"96,598",48.9,68.5,93.5,"390,110",51.1,70.2,94.2
Apr to Jun 2016,London North Eastern Railway,"98,342",53.1,72.1,94.0,"390,319",50.1,69.2,93.6
Jul to Sep 2016,London North Eastern Railway,"99,442",48.9,68.1,92.5,"390,911",48.5,67.8,93.0
Oct to Dec 2016,London North Eastern Railway,"98,254",42.0,62.0,91.8,"392,636",48.2,67.7,93.0
Jan to Mar 2017,London North Eastern Railway,"98,388",53.5,73.5,94.5,"394,426",49.4,69.0,93.2
Apr to Jun 2017,London North Eastern Railway,"101,024",53.2,73.6,95.3,"397,108",49.4,69.4,93.5
Jul to Sep 2017,London North Eastern Railway,"104,005",51.0,71.6,94.9,"401,671",50.0,70.2,94.2
Oct to Dec 2017,London North Eastern Railway,"98,727",40.2,60.8,91.3,"402,144",49.5,69.9,94.1
Jan to Mar 2018,London North Eastern Railway,"98,254",38.6,58.8,90.4,"402,010",45.9,66.3,93.1
Apr to Jun 2018,London North Eastern Railway,"103,974",40.0,59.9,91.3,"404,960",42.5,62.9,92.0
Jul to Sep 2018,London North Eastern Railway,"103,645",36.6,55.6,90.0,"404,600",38.8,58.7,90.8
Oct to Dec 2018,London North Eastern Railway,"98,905",35.7,54.7,91.1,"404,778",37.7,57.2,90.7
Jan to Mar 2019,London North Eastern Railway,"99,846",45.3,64.6,92.9,"406,370",39.4,58.7,91.3
Apr to Jun 2019,London North Eastern Railway,"102,892",46.5,66.0,93.0,"405,288",41.0,60.2,91.7
Jul to Sep 2019,London North Eastern Railway,"102,114",42.8,62.2,91.3,"403,757",42.6,61.9,92.1
Oct to Dec 2019,London North Eastern Railway,"99,435",39.1,56.3,89.3,"404,287",43.4,62.3,91.6
Jan to Mar 2020,London North Eastern Railway,"98,866",52.5,69.2,92.9,"403,307",45.2,63.4,91.6
Apr to Jun 2020,London North Eastern Railway,"61,331",83.3,91.6,98.1,"361,746",51.3,67.5,92.3
Jul to Sep 2020,London North Eastern Railway,"84,821",81.1,90.2,97.6,"344,453",61.2,74.6,93.9
Oct to Dec 2020,London North Eastern Railway,"85,541",75.5,86.9,97.2,"330,559",71.5,83.3,96.2
Jan to Mar 2021,London North Eastern Railway,"79,221",78.4,87.4,96.7,"310,914",79.3,88.9,97.4
Apr to Jun 2021,London North Eastern Railway,"91,929",78.7,88.2,97.1,"341,512",78.4,88.2,97.2
Jul to Sep 2021,London North Eastern Railway,"103,803",72.4,83.9,95.2,"360,493",76.1,86.5,96.5
Oct to Dec 2021,London North Eastern Railway,"98,547",63.5,78.1,94.3,"373,499",72.9,84.2,95.8
Jan to Mar 2022,London North Eastern Railway,"98,625",67.0,80.6,94.6,"392,904",70.3,82.6,95.3
Apr to Jun 2022,London North Eastern Railway,"106,121",67.8,81.4,95.6,"407,096",67.8,81.0,94.9
Jul to Sep 2022,London North Eastern Railway,"97,976",61.0,75.1,92.2,"401,270",64.9,78.8,94.2
Oct to Dec 2022,London North Eastern Railway,"88,991",48.3,64.4,89.8,"391,714",61.5,75.7,93.2
Jan to Mar 2023,London North Eastern Railway,"94,466",58.1,74.8,93.6,"387,554",59.2,74.3,92.9
Apr to Jun 2023,London North Eastern Railway,"101,380",60.5,75.8,93.5,"382,812",57.2,72.7,92.3
Jul to Sep 2023,London North Eastern Railway,"103,287",59.9,75.8,94.2,"388,123",57.0,72.9,92.9
Oct to Dec 2023,London North Eastern Railway,"95,914",48.3,63.8,88.2,"395,046",56.8,72.6,92.4
Jan to Mar 2024,London North Eastern Railway,"96,301",57.3,73.0,93.2,"396,882",56.6,72.2,92.3
Apr to Jun 2024,London North Eastern Railway,"104,888",59.4,75.7,94.1,"400,391",56.4,72.2,92.5
Jul to Sep 2024,London North Eastern Railway,"104,207",56.7,72.6,92.5,"401,311",55.5,71.4,92.1
Oct to Dec 2024,London North Eastern Railway,"104,555",52.8,69.5,91.6,"409,952",56.5,72.7,92.9
Jan to Mar 2025,London North Eastern Railway,"105,734",57.0,73.5,93.1,"419,384",56.5,72.8,92.8
Apr to Jun 2025 [p],London North Eastern Railway,"114,533",58.8,75.2,94.4,"429,028",56.4,72.7,93.0
Jul to Sep 2025 [p],London North Eastern Railway,"115,478",56.7,73.1,93.0,"440,299",56.4,72.9,93.1
Apr to Jun 2014,London Overground,"1,472,050",74.2,94.0,99.8,"5,928,627",73.0,92.9,99.8
Jul to Sep 2014,London Overground,"1,507,437",72.7,93.1,99.7,"5,897,940",72.3,92.7,99.8
Oct to Dec 2014,London Overground,"1,480,008",66.8,89.7,99.7,"5,926,968",71.5,92.3,99.8
Jan to Mar 2015,London Overground,"1,487,806",66.7,89.7,99.7,"5,947,300",70.1,91.6,99.7
Apr to Jun 2015,London Overground,"1,536,089",68.8,91.3,99.7,"6,011,340",68.8,91.0,99.7
Jul to Sep 2015,London Overground,"1,528,089",68.8,91.2,99.7,"6,031,991",67.8,90.5,99.7
Oct to Dec 2015,London Overground,"1,584,196",64.5,88.3,99.7,"6,136,180",67.2,90.1,99.7
Jan to Mar 2016,London Overground,"1,588,339",66.1,89.3,99.7,"6,236,713",67.0,90.0,99.7
Apr to Jun 2016,London Overground,"1,637,122",68.0,91.1,99.7,"6,337,746",66.8,90.0,99.7
Jul to Sep 2016,London Overground,"1,588,222",66.3,90.5,99.8,"6,397,879",66.2,89.8,99.7
Oct to Dec 2016,London Overground,"1,602,010",63.6,88.5,99.8,"6,415,693",66.0,89.9,99.7
Jan to Mar 2017,London Overground,"1,677,613",67.4,90.3,99.7,"6,504,967",66.3,90.1,99.7
Apr to Jun 2017,London Overground,"1,763,902",69.5,92.1,99.8,"6,631,746",66.8,90.4,99.8
Jul to Sep 2017,London Overground,"1,791,996",67.8,91.4,99.8,"6,835,521",67.2,90.6,99.8
Oct to Dec 2017,London Overground,"1,684,506",63.1,87.8,99.7,"6,918,016",67.0,90.4,99.8
Jan to Mar 2018,London Overground,"1,737,156",67.7,90.2,99.7,"6,977,559",67.1,90.4,99.7
Apr to Jun 2018,London Overground,"1,835,484",71.8,92.1,99.7,"7,049,141",67.7,90.4,99.7
Jul to Sep 2018,London Overground,"1,883,164",70.2,91.4,99.6,"7,140,310",68.3,90.5,99.7
Oct to Dec 2018,London Overground,"1,886,673",68.3,89.9,99.7,"7,342,477",69.5,90.9,99.7
Jan to Mar 2019,London Overground,"1,902,745",71.1,91.7,99.7,"7,508,067",70.3,91.3,99.7
Apr to Jun 2019,London Overground,"1,869,516",73.2,92.5,99.7,"7,542,099",70.7,91.4,99.7
Jul to Sep 2019,London Overground,"1,888,869",70.5,90.7,99.6,"7,547,804",70.8,91.2,99.7
Oct to Dec 2019,London Overground,"1,957,435",69.8,90.0,99.6,"7,618,565",71.1,91.2,99.7
Jan to Mar 2020,London Overground,"1,895,860",71.6,90.4,99.6,"7,611,680",71.2,90.9,99.6
Apr to Jun 2020,London Overground,"1,286,643",87.4,97.4,99.8,"7,028,806",73.7,91.6,99.6
Jul to Sep 2020,London Overground,"1,690,164",82.7,96.2,99.9,"6,830,102",76.8,93.0,99.7
Oct to Dec 2020,London Overground,"1,876,465",80.2,95.5,99.8,"6,749,132",79.8,94.6,99.7
Jan to Mar 2021,London Overground,"1,828,557",83.9,96.8,99.8,"6,681,829",83.2,96.4,99.8
Apr to Jun 2021,London Overground,"1,916,648",81.3,96.1,99.8,"7,311,834",82.0,96.1,99.8
Jul to Sep 2021,London Overground,"2,004,972",80.3,95.6,99.8,"7,626,643",81.4,96.0,99.8
Oct to Dec 2021,London Overground,"2,008,176",77.7,94.4,99.8,"7,758,353",80.7,95.7,99.8
Jan to Mar 2022,London Overground,"1,938,978",78.9,95.0,99.8,"7,868,774",79.5,95.3,99.8
Apr to Jun 2022,London Overground,"1,978,910",79.1,95.1,99.8,"7,931,036",79.0,95.0,99.8
Jul to Sep 2022,London Overground,"1,904,934",75.0,93.2,99.7,"7,830,998",77.7,94.4,99.8
Oct to Dec 2022,London Overground,"1,790,327",71.0,91.2,99.7,"7,613,149",76.1,93.7,99.7
Jan to Mar 2023,London Overground,"1,908,532",73.5,92.7,99.8,"7,582,703",74.7,93.1,99.7
Apr to Jun 2023,London Overground,"2,087,174",75.6,93.2,99.7,"7,690,967",73.9,92.6,99.7
Jul to Sep 2023,London Overground,"2,025,722",74.7,93.2,99.8,"7,811,755",73.8,92.6,99.7
Oct to Dec 2023,London Overground,"2,001,567",69.8,90.6,99.7,"8,022,995",73.5,92.4,99.7
Jan to Mar 2024,London Overground,"1,948,849",73.2,92.4,99.7,"8,063,312",73.4,92.4,99.7
Apr to Jun 2024,London Overground,"2,055,713",74.2,92.8,99.7,"8,031,851",73.0,92.3,99.7
Jul to Sep 2024,London Overground,"2,046,471",72.6,91.7,99.5,"8,052,600",72.5,91.9,99.6
Oct to Dec 2024,London Overground,"2,041,987",69.6,89.6,99.3,"8,093,021",72.4,91.6,99.5
Jan to Mar 2025,London Overground,"2,000,952",71.7,91.5,99.6,"8,145,123",72.0,91.4,99.5
Apr to Jun 2025 [p],London Overground,"2,070,618",70.1,90.7,99.5,"8,160,028",71.0,90.9,99.5
Jul to Sep 2025 [p],London Overground,"2,175,092",69.8,91.2,99.6,"8,288,649",70.3,90.7,99.5
Oct to Dec 2021,Lumo [note 3],"1,069",49.2,68.7,89.9,[z],[z],[z],[z]
Jan to Mar 2022,Lumo,"2,355",61.5,79.0,94.4,[z],[z],[z],[z]
Apr to Jun 2022,Lumo,"3,688",60.8,76.3,92.2,[z],[z],[z],[z]
Jul to Sep 2022,Lumo,"3,623",55.9,71.8,90.0,"10,736",58.2,74.6,91.7
Oct to Dec 2022,Lumo,"3,337",50.3,65.7,89.3,"13,003",56.9,72.8,91.3
Jan to Mar 2023,Lumo,"3,608",54.9,70.1,90.2,"14,256",55.6,71.1,90.5
Apr to Jun 2023,Lumo,"3,953",59.2,73.0,91.6,"14,521",55.3,70.3,90.3
Jul to Sep 2023,Lumo,"3,924",59.6,73.4,92.4,"14,821",56.2,70.7,91.0
Oct to Dec 2023,Lumo,"3,683",44.4,58.4,83.9,"15,167",54.7,68.8,89.6
Jan to Mar 2024,Lumo,"3,765",60.3,75.0,92.9,"15,325",56.0,70.0,90.3
Apr to Jun 2024,Lumo,"4,043",59.2,72.6,90.4,"15,415",56.0,70.0,90.0
Jul to Sep 2024,Lumo,"3,899",60.0,73.0,91.3,"15,391",56.1,69.9,89.7
Oct to Dec 2024,Lumo,"3,778",53.6,66.9,88.5,"15,486",58.3,71.9,90.8
Jan to Mar 2025,Lumo,"3,373",59.3,72.0,91.7,"15,094",58.0,71.1,90.4
Apr to Jun 2025 [p],Lumo,"3,949",57.9,71.7,92.0,"15,000",57.7,70.9,90.9
Jul to Sep 2025 [p],Lumo,"3,936",56.4,70.1,90.3,"15,037",56.7,70.2,90.6
Apr to Jun 2014,Merseyrail,"917,225",73.2,94.7,99.9,"3,559,676",70.7,93.1,99.8
Jul to Sep 2014,Merseyrail,"918,942",67.2,91.7,99.8,"3,600,435",69.6,92.6,99.8
Oct to Dec 2014,Merseyrail,"851,182",69.3,91.2,99.8,"3,566,917",71.1,93.1,99.8
Jan to Mar 2015,Merseyrail,"847,829",75.5,94.4,99.9,"3,535,178",71.3,93.0,99.9
Apr to Jun 2015,Merseyrail,"898,220",73.7,94.3,99.9,"3,516,173",71.4,92.9,99.9
Jul to Sep 2015,Merseyrail,"913,106",69.0,92.7,99.8,"3,510,338",71.9,93.2,99.9
Oct to Dec 2015,Merseyrail,"891,599",61.2,88.3,99.8,"3,550,754",69.8,92.4,99.8
Jan to Mar 2016,Merseyrail,"872,422",67.8,92.3,99.8,"3,575,347",68.0,91.9,99.8
Apr to Jun 2016,Merseyrail,"900,753",70.7,93.5,99.9,"3,577,880",67.2,91.7,99.8
Jul to Sep 2016,Merseyrail,"921,076",67.5,92.4,99.9,"3,585,849",66.8,91.7,99.8
Oct to Dec 2016,Merseyrail,"884,679",63.0,89.8,99.9,"3,578,930",67.3,92.0,99.9
Jan to Mar 2017,Merseyrail,"690,255",69.8,93.2,99.8,"3,396,763",67.6,92.2,99.8
Apr to Jun 2017,Merseyrail,"734,780",69.2,92.7,99.9,"3,230,790",67.1,91.9,99.8
Jul to Sep 2017,Merseyrail,"851,264",61.5,88.7,99.8,"3,160,978",65.5,90.9,99.8
Oct to Dec 2017,Merseyrail,"849,833",62.1,89.8,99.8,"3,126,132",65.3,90.9,99.8
Jan to Mar 2018,Merseyrail,"839,382",66.7,91.6,99.9,"3,275,258",64.7,90.6,99.8
Apr to Jun 2018,Merseyrail,"903,790",68.7,92.8,99.9,"3,444,268",64.8,90.8,99.8
Jul to Sep 2018,Merseyrail,"910,739",67.1,91.5,99.8,"3,503,743",66.2,91.5,99.8
Oct to Dec 2018,Merseyrail,"858,400",68.3,91.9,99.8,"3,512,311",67.7,92.0,99.8
Jan to Mar 2019,Merseyrail,"806,009",72.2,93.1,99.8,"3,478,938",69.0,92.3,99.8
Apr to Jun 2019,Merseyrail,"898,685",72.4,93.8,99.9,"3,473,832",69.9,92.6,99.8
Jul to Sep 2019,Merseyrail,"919,959",71.0,93.4,99.9,"3,483,053",71.0,93.1,99.9
Oct to Dec 2019,Merseyrail,"895,223",70.9,93.5,99.9,"3,519,876",71.6,93.5,99.9
Jan to Mar 2020,Merseyrail,"842,311",76.4,95.1,99.9,"3,556,178",72.6,93.9,99.9
Apr to Jun 2020,Merseyrail,"452,972",88.6,98.0,99.9,"3,110,465",75.0,94.6,99.9
Jul to Sep 2020,Merseyrail,"705,470",84.5,97.6,99.9,"2,895,976",78.6,95.7,99.9
Oct to Dec 2020,Merseyrail,"667,695",83.9,97.1,99.8,"2,668,448",82.5,96.8,99.9
Jan to Mar 2021,Merseyrail,"578,147",85.3,97.3,99.9,"2,404,284",85.3,97.5,99.9
Apr to Jun 2021,Merseyrail,"755,257",80.6,96.4,99.9,"2,706,569",83.4,97.1,99.9
Jul to Sep 2021,Merseyrail,"771,269",77.1,95.3,99.9,"2,772,368",81.4,96.5,99.9
Oct to Dec 2021,Merseyrail,"785,787",79.2,94.8,99.8,"2,890,461",80.2,95.9,99.9
Jan to Mar 2022,Merseyrail,"707,976",78.5,95.8,99.9,"3,020,289",78.9,95.6,99.9
Apr to Jun 2022,Merseyrail,"802,499",71.8,92.5,99.9,"3,067,531",76.6,94.6,99.9
Jul to Sep 2022,Merseyrail,"870,413",72.8,92.9,99.8,"3,166,675",75.4,93.9,99.8
Oct to Dec 2022,Merseyrail,"809,073",75.1,94.3,99.8,"3,189,961",74.4,93.8,99.8
Jan to Mar 2023,Merseyrail,"820,351",75.5,94.3,99.9,"3,302,336",73.8,93.5,99.8
Apr to Jun 2023,Merseyrail,"884,185",74.1,93.6,99.9,"3,384,022",74.3,93.8,99.8
Jul to Sep 2023,Merseyrail,"858,936",71.4,92.4,99.8,"3,372,545",74.0,93.6,99.9
Oct to Dec 2023,Merseyrail,"829,049",68.7,90.5,99.5,"3,392,521",72.5,92.7,99.8
Jan to Mar 2024,Merseyrail,"837,070",68.3,89.9,99.6,"3,409,240",70.7,91.6,99.7
Apr to Jun 2024,Merseyrail,"871,795",71.4,91.0,99.6,"3,396,850",70.0,91.0,99.6
Jul to Sep 2024,Merseyrail,"891,635",70.6,91.1,99.6,"3,429,549",69.8,90.6,99.6
Oct to Dec 2024,Merseyrail,"861,265",71.1,90.9,99.5,"3,461,765",70.4,90.7,99.6
Jan to Mar 2025,Merseyrail,"877,264",69.6,90.4,99.6,"3,501,959",70.7,90.9,99.6
Apr to Jun 2025 [p],Merseyrail,"916,316",67.9,90.1,99.6,"3,546,479",69.8,90.6,99.6
Jul to Sep 2025 [p],Merseyrail,"928,482",69.5,90.9,99.7,"3,583,327",69.5,90.6,99.6
Apr to Jun 2014,Northern Trains,"1,759,136",61.2,84.4,99.0,"6,804,912",57.5,81.5,98.6
Jul to Sep 2014,Northern Trains,"1,779,322",57.9,81.7,98.6,"6,885,497",57.3,81.3,98.6
Oct to Dec 2014,Northern Trains,"1,773,943",50.1,74.6,97.9,"6,995,503",57.2,81.1,98.6
Jan to Mar 2015,Northern Trains,"1,767,251",61.8,84.3,99.0,"7,079,651",57.7,81.3,98.6
Apr to Jun 2015,Northern Trains,"1,797,713",63.5,85.0,98.9,"7,118,228",58.3,81.4,98.6
Jul to Sep 2015,Northern Trains,"1,828,319",61.9,83.7,98.8,"7,167,225",59.4,81.9,98.6
Oct to Dec 2015,Northern Trains,"1,831,679",51.6,75.1,98.0,"7,224,961",59.7,82.0,98.7
Jan to Mar 2016,Northern Trains,"1,885,485",62.1,83.8,98.9,"7,343,196",59.8,81.9,98.7
Apr to Jun 2016,Northern Trains,"1,993,868",66.0,86.4,99.0,"7,539,351",60.5,82.4,98.7
Jul to Sep 2016,Northern Trains,"2,045,214",64.8,85.7,99.0,"7,756,247",61.3,82.9,98.7
Oct to Dec 2016,Northern Trains,"2,021,650",55.0,78.4,98.5,"7,946,218",61.9,83.6,98.9
Jan to Mar 2017,Northern Trains,"1,953,922",64.7,85.8,99.0,"8,014,655",62.6,84.0,98.9
Apr to Jun 2017,Northern Trains,"2,020,301",65.4,85.8,98.9,"8,041,088",62.4,83.9,98.8
Jul to Sep 2017,Northern Trains,"2,010,980",62.7,84.2,98.9,"8,006,854",61.9,83.5,98.8
Oct to Dec 2017,Northern Trains,"1,998,031",50.3,74.2,97.8,"7,983,234",60.8,82.5,98.6
Jan to Mar 2018,Northern Trains,"1,883,216",58.6,81.2,98.4,"7,912,528",59.3,81.4,98.5
Apr to Jun 2018,Northern Trains,"1,927,345",55.3,76.7,97.1,"7,819,572",56.7,79.1,98.1
Jul to Sep 2018,Northern Trains,"2,026,236",53.3,74.9,97.5,"7,834,828",54.3,76.7,97.7
Oct to Dec 2018,Northern Trains,"1,919,627",45.3,67.9,96.7,"7,756,425",53.1,75.1,97.4
Jan to Mar 2019,Northern Trains,"2,138,992",59.3,81.0,98.6,"8,012,200",53.5,75.3,97.5
Apr to Jun 2019,Northern Trains,"2,357,000",61.3,82.3,98.7,"8,441,855",55.3,76.9,97.9
Jul to Sep 2019,Northern Trains,"2,363,753",55.3,76.8,97.8,"8,779,372",55.7,77.4,98.0
Oct to Dec 2019,Northern Trains,"2,220,242",45.7,67.5,95.9,"9,079,987",55.5,76.9,97.8
Jan to Mar 2020,Northern Trains,"2,132,122",58.1,78.4,97.9,"9,073,117",55.2,76.4,97.6
Apr to Jun 2020,Northern Trains,"1,369,926",84.3,94.6,99.2,"8,086,044",58.3,77.7,97.6
Jul to Sep 2020,Northern Trains,"1,791,433",76.3,91.4,99.1,"7,513,723",63.6,81.3,97.8
Oct to Dec 2020,Northern Trains,"2,135,989",69.4,87.8,98.9,"7,429,470",70.6,87.2,98.7
Jan to Mar 2021,Northern Trains,"1,761,279",78.5,92.1,99.1,"7,058,627",76.3,91.1,99.1
Apr to Jun 2021,Northern Trains,"1,978,712",75.0,90.7,99.1,"7,667,412",74.5,90.4,99.1
Jul to Sep 2021,Northern Trains,"2,199,353",70.9,88.3,98.9,"8,075,333",73.2,89.6,99.0
Oct to Dec 2021,Northern Trains,"2,129,356",57.2,78.7,97.7,"8,068,700",70.0,87.2,98.7
Jan to Mar 2022,Northern Trains,"1,967,712",65.5,84.9,98.3,"8,275,133",67.1,85.6,98.5
Apr to Jun 2022,Northern Trains,"1,942,197",65.5,84.6,98.4,"8,238,619",64.8,84.1,98.3
Jul to Sep 2022,Northern Trains,"1,885,483",62.0,81.8,98.0,"7,924,748",62.4,82.4,98.1
Oct to Dec 2022,Northern Trains,"1,639,364",50.7,73.0,96.9,"7,434,757",61.4,81.4,97.9
Jan to Mar 2023,Northern Trains,"2,056,542",60.7,81.0,97.9,"7,523,586",60.1,80.4,97.8
Apr to Jun 2023,Northern Trains,"2,151,805",63.0,82.2,98.0,"7,733,194",59.6,79.8,97.7
Jul to Sep 2023,Northern Trains,"2,099,461",60.5,80.6,97.9,"7,947,172",59.2,79.6,97.7
Oct to Dec 2023,Northern Trains,"2,114,714",50.2,72.0,96.3,"8,422,521",58.6,78.9,97.5
Jan to Mar 2024,Northern Trains,"2,193,760",61.3,81.6,98.2,"8,559,740",58.8,79.1,97.6
Apr to Jun 2024,Northern Trains,"2,186,280",61.9,81.7,98.2,"8,594,215",58.5,79.0,97.7
Jul to Sep 2024,Northern Trains,"2,230,756",58.7,78.9,97.6,"8,725,510",58.1,78.6,97.6
Oct to Dec 2024,Northern Trains,"2,107,816",50.6,72.4,96.7,"8,718,612",58.2,78.7,97.7
Jan to Mar 2025,Northern Trains,"2,281,981",61.3,81.4,98.2,"8,806,833",58.2,78.7,97.7
Apr to Jun 2025 [p],Northern Trains,"2,405,870",61.4,80.9,98.1,"9,026,423",58.2,78.5,97.7
Jul to Sep 2025 [p],Northern Trains,"2,359,540",58.5,78.7,97.9,"9,155,206",58.1,78.5,97.7
Apr to Jun 2014,ScotRail,"1,501,227",69.2,91.4,99.7,"5,783,024",62.3,87.3,99.5
Jul to Sep 2014,ScotRail,"1,543,296",62.3,85.5,99.3,"5,896,762",63.1,87.1,99.5
Oct to Dec 2014,ScotRail,"1,462,054",56.5,82.6,99.3,"5,959,954",63.8,87.5,99.5
Jan to Mar 2015,ScotRail,"1,478,739",62.9,87.0,99.5,"5,985,315",62.8,86.6,99.4
Apr to Jun 2015,ScotRail,"1,511,408",67.9,90.9,99.7,"5,995,496",62.4,86.5,99.4
Jul to Sep 2015,ScotRail,"1,530,429",64.7,88.8,99.6,"5,982,629",63.1,87.3,99.5
Oct to Dec 2015,ScotRail,"1,495,017",54.2,80.4,99.2,"6,015,592",62.4,86.8,99.5
Jan to Mar 2016,ScotRail,"1,532,699",63.3,87.5,99.6,"6,069,552",62.5,86.9,99.5
Apr to Jun 2016,ScotRail,"1,503,327",65.4,87.6,99.5,"6,061,472",61.9,86.1,99.5
Jul to Sep 2016,ScotRail,"1,554,139",60.7,84.8,99.5,"6,085,182",60.9,85.1,99.4
Oct to Dec 2016,ScotRail,"1,554,930",55.4,80.6,99.4,"6,145,095",61.1,85.1,99.5
Jan to Mar 2017,ScotRail,"1,560,798",65.1,88.2,99.7,"6,173,194",61.6,85.3,99.5
Apr to Jun 2017,ScotRail,"1,600,174",67.3,88.8,99.6,"6,270,040",62.1,85.6,99.6
Jul to Sep 2017,ScotRail,"1,618,949",67.4,88.9,99.7,"6,334,851",63.8,86.7,99.6
Oct to Dec 2017,ScotRail,"1,539,671",54.2,78.2,99.2,"6,319,591",63.6,86.1,99.6
Jan to Mar 2018,ScotRail,"1,504,672",63.1,85.4,99.4,"6,263,466",63.1,85.4,99.5
Apr to Jun 2018,ScotRail,"1,571,346",65.9,87.1,99.5,"6,234,638",62.7,85.0,99.4
Jul to Sep 2018,ScotRail,"1,595,738",62.8,84.4,99.3,"6,211,427",61.5,83.8,99.3
Oct to Dec 2018,ScotRail,"1,598,729",54.6,78.2,99.1,"6,270,485",61.6,83.7,99.3
Jan to Mar 2019,ScotRail,"1,961,869",66.2,87.5,99.6,"6,727,682",62.6,84.5,99.4
Apr to Jun 2019,ScotRail,"2,252,094",70.2,90.1,99.6,"7,408,430",64.2,85.6,99.4
Jul to Sep 2019,ScotRail,"2,270,781",67.9,88.6,99.5,"8,083,472",65.5,86.7,99.5
Oct to Dec 2019,ScotRail,"2,196,836",60.2,83.5,99.4,"8,681,579",66.2,87.4,99.5
Jan to Mar 2020,ScotRail,"2,139,199",67.0,88.0,99.5,"8,858,909",66.4,87.6,99.5
Apr to Jun 2020,ScotRail,"1,226,228",84.3,96.1,99.8,"7,833,044",68.1,88.2,99.5
Jul to Sep 2020,ScotRail,"1,870,805",77.4,93.3,99.6,"7,433,068",70.5,89.3,99.6
Oct to Dec 2020,ScotRail,"2,041,588",72.3,90.8,99.5,"7,277,821",74.1,91.5,99.6
Jan to Mar 2021,ScotRail,"1,705,744",79.7,94.0,99.5,"6,844,366",77.7,93.2,99.6
Apr to Jun 2021,ScotRail,"1,738,488",77.2,93.3,99.7,"7,356,626",76.5,92.8,99.6
Jul to Sep 2021,ScotRail,"1,846,498",72.9,91.2,99.5,"7,332,318",75.3,92.2,99.6
Oct to Dec 2021,ScotRail,"1,859,431",63.1,85.4,99.2,"7,150,161",73.0,90.9,99.5
Jan to Mar 2022,ScotRail,"1,802,666",72.1,90.5,99.5,"7,247,083",71.2,90.0,99.5
Apr to Jun 2022,ScotRail,"1,586,175",74.0,91.6,99.6,"7,094,771",70.4,89.6,99.5
Jul to Sep 2022,ScotRail,"1,817,564",70.5,89.5,99.4,"7,065,836",69.7,89.1,99.4
Oct to Dec 2022,ScotRail,"1,705,204",62.4,84.5,99.1,"6,911,609",69.7,89.0,99.4
Jan to Mar 2023,ScotRail,"1,934,301",70.3,89.8,99.5,"7,043,243",69.3,88.8,99.4
Apr to Jun 2023,ScotRail,"2,024,469",73.7,91.4,99.5,"7,481,536",69.5,88.9,99.4
Jul to Sep 2023,ScotRail,"2,028,635",72.1,90.5,99.5,"7,692,608",69.9,89.2,99.4
Oct to Dec 2023,ScotRail,"1,939,856",62.9,84.9,99.1,"7,927,260",69.8,89.2,99.4
Jan to Mar 2024,ScotRail,"1,964,435",70.2,89.7,99.5,"7,957,395",69.8,89.2,99.4
Apr to Jun 2024,ScotRail,"2,058,564",72.3,90.6,99.6,"7,991,490",69.4,89.0,99.4
Jul to Sep 2024,ScotRail,"1,701,927",70.2,89.6,99.5,"7,664,783",68.9,88.7,99.4
Oct to Dec 2024,ScotRail,"2,023,533",62.5,84.6,99.1,"7,748,460",68.7,88.6,99.4
Jan to Mar 2025,ScotRail,"2,038,031",71.8,90.6,99.6,"7,822,055",69.2,88.8,99.4
