Time_Period,Operator,Punctuality_Score,Year,Cancellation_Rate
Oct to Dec 2015,Govia Thameslink Railway,74.2,2015,NA
Jan to Mar 2016,Govia Thameslink Railway,78.5,2016,NA
Apr to Jun 2016,Govia Thameslink Railway,78.2,2016,NA
Jul to Sep 2016,Govia Thameslink Railway,74.7,2016,NA
Oct to Dec 2016,Govia Thameslink Railway,69.5,2016,NA
Jan to Mar 2017,Govia Thameslink Railway,78.4,2017,NA
Apr to Jun 2017,Govia Thameslink Railway,83.7,2017,NA
Jul to Sep 2017,Govia Thameslink Railway,82.9,2017,NA
Oct to Dec 2017,Govia Thameslink Railway,76.4,2017,NA
Jan to Mar 2018,Govia Thameslink Railway,80.7,2018,NA
Apr to Jun 2018,Govia Thameslink Railway,84.3,2018,NA
Jul to Sep 2018,Govia Thameslink Railway,85.9,2018,NA
Oct to Dec 2018,Govia Thameslink Railway,83.8,2018,NA
Jan to Mar 2019,Govia Thameslink Railway,87.4,2019,NA
Apr to Jun 2019,Govia Thameslink Railway,90,2019,3.5
